x,y,z,yaw,index
-3.857, -1.591, 0.008, 0.31, 0
-3.912, -1.026, -0.547, 0.822, 1
-3.703, -0.534, 0.018, 1.492, 2
-3.852, -0.023, -0.562, 1.551, 3
-3.831, 0.706, -0.49, 1.35, 4
-3.676, 0.672, 0.064, -0.141, 5
-3.798, 1.312, -0.177, -0.144, 6
-3.906, -1.611, 0.008, 0.34, 0
-3.934, -1.031, -0.55, 0.878, 1
-3.718, -0.536, 0.017, 0.385, 2
-3.86, -0.022, -0.564, 1.312, 3
-3.814, 0.703, -0.488, 1.208, 4
-3.68, 0.672, 0.063, -0.145, 5
-3.779, 1.306, -0.178, -0.134, 6
-3.87, -1.596, 0.008, 0.342, 0
-3.735, -0.538, 0.017, -0.092, 2
-3.86, -0.022, -0.564, 1.312, 3
-3.8, 0.701, -0.486, 1.208, 4
-3.678, 0.672, 0.062, -0.103, 5
-3.758, 1.299, -0.176, -0.146, 6
-3.735, -0.538, 0.017, -0.092, 2
-3.872, -0.022, -0.565, 1.535, 3
-3.8, 0.701, -0.486, 1.208, 4
-3.713, 0.679, 0.063, -0.044, 5
-3.786, 1.309, -0.177, -0.148, 6
-3.852, -1.589, 0.008, 0.327, 0
-3.886, -1.018, -0.544, 0.949, 1
-3.735, -0.538, 0.017, -0.092, 2
-3.875, -0.022, -0.566, 1.554, 3
-3.834, 0.707, -0.49, 1.165, 4
-3.734, 0.683, 0.065, 0.036, 5
-3.798, 1.312, -0.177, -0.144, 6
-3.894, -1.606, 0.008, 0.37, 0
-3.887, -1.019, -0.543, 0.865, 1
-3.728, -0.537, 0.018, -0.963, 2
-3.837, -0.022, -0.559, 1.507, 3
-3.811, 0.703, -0.487, 1.137, 4
-3.706, 0.678, 0.064, -0.091, 5
-3.798, 1.312, -0.177, -0.144, 6
-3.883, -1.601, 0.008, 0.436, 0
-3.902, -1.023, -0.546, 0.864, 1
-3.728, -0.537, 0.018, -0.963, 2
-3.858, -0.022, -0.563, 1.504, 3
-3.823, 0.705, -0.489, 1.117, 4
-3.694, 0.676, 0.063, -0.074, 5
-3.786, 1.309, -0.177, -0.148, 6
-3.878, -1.6, 0.008, 0.389, 0
-3.912, -1.026, -0.547, 0.822, 1
-3.703, -0.534, 0.018, 1.492, 2
-3.827, -0.023, -0.559, 1.36, 3
-3.808, 0.701, -0.487, 1.186, 4
-3.713, 0.679, 0.063, -0.044, 5
-3.824, 1.322, -0.18, -0.141, 6
-3.82, -1.576, 0.01, 0.329, 0
-3.902, -1.023, -0.545, 0.994, 1
-3.706, -0.534, 0.018, 1.403, 2
-3.782, -0.023, -0.552, 1.507, 3
-3.827, 0.705, -0.489, 1.245, 4
-3.726, 0.681, 0.064, -0.044, 5
-3.803, 1.314, -0.179, -0.148, 6
-3.706, -0.534, 0.019, 1.539, 2
-3.766, -0.023, -0.549, 1.489, 3
-3.854, 0.709, -0.492, -0.705, 4
-3.694, 0.676, 0.063, -0.074, 5
-3.803, 1.314, -0.179, -0.148, 6
-3.715, -0.536, 0.02, 1.413, 2
-3.759, -0.023, -0.547, 1.551, 3
-3.868, 0.712, -0.494, -0.705, 4
-3.688, 0.674, 0.064, -0.142, 5
-3.777, 1.305, -0.177, -0.164, 6
-3.899, -1.023, -0.54, 0.923, 1
-3.708, -0.535, 0.023, 1.232, 2
-3.775, -0.024, -0.548, 1.479, 3
-3.812, 0.701, -0.484, -0.675, 4
-3.752, 0.686, 0.066, 0.071, 5
-3.845, 1.329, -0.179, -0.133, 6
-3.696, -0.533, 0.025, 1.233, 2
-3.805, -0.024, -0.55, 1.346, 3
-3.811, 0.7, -0.482, -0.675, 4
-3.703, 0.677, 0.069, -0.085, 5
-3.734, 1.29, -0.17, -0.187, 6
-3.806, -1.571, 0.02, 0.277, 0
-3.821, -1.002, -0.524, 0.903, 1
-3.739, -0.539, 0.028, 1.401, 2
-3.793, -0.023, -0.545, 1.526, 3
-3.83, 0.705, -0.482, 1.247, 4
-3.701, 0.677, 0.071, -0.046, 5
-3.753, 1.296, -0.169, -0.164, 6
-3.744, -1.546, 0.02, 0.212, 0
-3.843, -1.008, -0.525, 0.942, 1
-3.737, -0.539, 0.029, 1.222, 2
